,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,sample_duration_code,sample_duration_type,pollutant_standard,year,quarter,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,minimum_value,maximum_value,quarterly_criteria_met,actual_days_gt_std,estimated_days_gt_std,valid_samples,valid_day_count,scheduled_samples,percent_days,percent_one_value,monitoring_agency_code,monitoring_agency,local_site_name,address,state,county,city,tribal_code,tribal_land,cbsa_code,cbsa,date_of_last_change,yr_quarter
0,36,005,0110,42401,1,40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,1,Parts per billion,No Events,2119,98.0,0.6691,0.2,7.2,Y,0.0,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q1
1,36,005,0133,42401,1,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,1,Parts per billion,No Events,2135,99.0,0.8616,0.3,6.0,Y,0.0,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q1
2,36,005,0110,42401,1,40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,2,Parts per billion,No Events,2146,98.0,0.1256,0.0,2.2,Y,0.0,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q2
3,36,005,0133,42401,1,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,2,Parts per billion,No Events,2154,99.0,0.3221,0.0,2.1,Y,0.0,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q2
4,36,005,0110,42401,1,40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,3,Parts per billion,No Events,2166,98.0,0.2214,0.0,4.0,Y,0.0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q3
5,36,005,0133,42401,1,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,3,Parts per billion,No Events,2170,98.0,0.398,0.0,3.0,Y,0.0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q3
6,36,005,0110,42401,1,40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,4,Parts per billion,No Events,1990,90.0,0.6392,0.1,4.9,Y,0.0,,84.0,84.0,2208.0,91.3,93.0,0768,New York State Department Of Environmental Conservation,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q4
7,36,005,0133,42401,1,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,4,Parts per billion,No Events,2165,98.0,0.6427,0.2,4.3,Y,0.0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q4
8,36,005,0110,42401,1,40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 Annual 1971,2019,1,Parts per billion,No Events,2119,98.0,0.6691,0.2,7.2,Y,,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q1
9,36,005,0133,42401,1,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 Annual 1971,2019,1,Parts per billion,No Events,2135,99.0,0.8616,0.3,6.0,Y,,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q1
10,36,005,0110,42401,1,40.816,-73.902,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 Annual 1971,2019,2,Parts per billion,No Events,2146,98.0,0.1256,0.0,2.2,Y,,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q2
