,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,sample_duration_code,sample_duration_type,pollutant_standard,year,quarter,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,minimum_value,maximum_value,quarterly_criteria_met,actual_days_gt_std,estimated_days_gt_std,valid_samples,valid_day_count,scheduled_samples,percent_days,percent_one_value,monitoring_agency_code,monitoring_agency,local_site_name,address,state,county,city,tribal_code,tribal_land,cbsa_code,cbsa,date_of_last_change,yr_quarter
0,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2019,1,Parts per million,No Events,2139,99.0,0.3236,0.212,1.877,Y,0,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q1
1,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2019,2,Parts per million,No Events,2138,98.0,0.2576,0.176,1.232,Y,0,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q2
2,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2019,3,Parts per million,No Events,2170,98.0,0.2261,0.18,0.73,Y,0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q3
3,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2019,4,Parts per million,No Events,2062,93.0,0.2871,0.142,1.68,Y,0,,89.0,89.0,2208.0,96.7,97.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q4
4,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2020,1,Parts per million,No Events,2153,99.0,0.3418,0.189,1.989,Y,0,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-31,2020_q1
5,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2020,2,Parts per million,No Events,2158,99.0,0.1902,0.118,0.663,Y,0,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-31,2020_q2
6,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2020,3,Parts per million,No Events,2121,96.0,0.2195,0.173,0.747,Y,0,,91.0,91.0,2208.0,98.9,99.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-31,2020_q3
7,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2020,4,Parts per million,No Events,2153,98.0,0.3058,0.222,1.557,Y,0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-31,2020_q4
8,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2021,1,Parts per million,No Events,1916,89.0,0.3076,0.213,1.388,Y,0,,84.0,84.0,2160.0,93.3,93.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-30,2021_q1
9,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2021,2,Parts per million,No Events,2142,98.0,0.2342,0.172,1.606,Y,0,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-30,2021_q2
10,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2021,3,Parts per million,No Events,2173,98.0,0.2545,0.139,0.754,Y,0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-04,2021_q3
11,36,061,0135,42101,1,40.81976,-73.94825,WGS84,Carbon monoxide,1 HOUR,1,O,CO 1-hour 1971,2021,4,Parts per million,No Events,678,31.0,0.2412,0.153,0.675,Y,0,,31.0,31.0,2208.0,33.7,34.0,0768,New York State Department Of Environmental Conservation,CCNY,160 CONVENT AVENUE,New York,New York,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-12-01,2021_q4
