,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,sample_duration_code,sample_duration_type,pollutant_standard,year,quarter,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,minimum_value,maximum_value,quarterly_criteria_met,actual_days_gt_std,estimated_days_gt_std,valid_samples,valid_day_count,scheduled_samples,percent_days,percent_one_value,monitoring_agency_code,monitoring_agency,local_site_name,address,state,county,city,tribal_code,tribal_land,cbsa_code,cbsa,date_of_last_change
0,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,1,Parts per billion,No Events,2120,98.0,0.2934,0.1,4.8,Y,0.0,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
1,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,2,Parts per billion,No Events,2076,95.0,0.0853,0.0,3.2,Y,0.0,,86.0,86.0,2184.0,94.5,99.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
2,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,3,Parts per billion,No Events,2173,98.0,0.0782,0.0,3.4,Y,0.0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
3,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,4,Parts per billion,No Events,2168,98.0,0.2155,0.0,3.7,Y,0.0,,92.0,92.0,2208.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
4,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,24-HR BLK AVG,X,C,SO2 24-hour 1971,2019,1,Parts per billion,No Events,90,100.0,0.2956,0.1,0.7,Y,0.0,,90.0,90.0,90.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
5,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,24-HR BLK AVG,X,C,SO2 24-hour 1971,2019,2,Parts per billion,No Events,86,95.0,0.0802,-0.1,0.4,Y,0.0,,86.0,86.0,91.0,94.5,95.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
6,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,24-HR BLK AVG,X,C,SO2 24-hour 1971,2019,3,Parts per billion,No Events,92,100.0,0.0793,0.0,0.5,Y,0.0,,92.0,92.0,92.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
7,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,24-HR BLK AVG,X,C,SO2 24-hour 1971,2019,4,Parts per billion,No Events,92,100.0,0.213,0.0,1.0,Y,0.0,,92.0,92.0,92.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
8,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,3-HR BLK AVG,Y,C,SO2 3-hour 1971,2019,1,Parts per billion,No Events,700,97.0,0.2736,0.1,2.5,Y,,,90.0,90.0,720.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
9,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,3-HR BLK AVG,Y,C,SO2 3-hour 1971,2019,2,Parts per billion,No Events,682,94.0,0.0717,0.0,1.6,Y,,,86.0,86.0,728.0,94.5,99.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
10,36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,3-HR BLK AVG,Y,C,SO2 3-hour 1971,2019,3,Parts per billion,No Events,717,97.0,0.0594,0.0,1.5,Y,,,92.0,92.0,736.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,,,10580,"Albany-Schenectady-Troy, NY",2021-11-02
