,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,sample_duration_code,sample_duration_type,pollutant_standard,year,quarter,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,minimum_value,maximum_value,quarterly_criteria_met,actual_days_gt_std,estimated_days_gt_std,valid_samples,valid_day_count,scheduled_samples,percent_days,percent_one_value,monitoring_agency_code,monitoring_agency,local_site_name,address,state,county,city,tribal_code,tribal_land,cbsa_code,cbsa,date_of_last_change,yr_quarter
0,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,1,Parts per billion,No Events,2122,98.0,0.6399,0.0,5.4,Y,0.0,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q1
1,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,2,Parts per billion,No Events,2136,98.0,0.1842,0.0,3.9,Y,0.0,,89.0,89.0,2184.0,97.8,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q2
2,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,3,Parts per billion,No Events,2133,97.0,0.1915,0.0,6.5,Y,0.0,,89.0,89.0,2208.0,96.7,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q3
3,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2019,4,Parts per billion,No Events,2122,96.0,0.434,0.0,6.4,Y,0.0,,88.0,88.0,2208.0,95.7,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q4
4,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 Annual 1971,2019,1,Parts per billion,No Events,2122,98.0,0.6399,0.0,5.4,Y,,,90.0,90.0,2160.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q1
5,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 Annual 1971,2019,2,Parts per billion,No Events,2136,98.0,0.1842,0.0,3.9,Y,,,89.0,89.0,2184.0,97.8,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q2
6,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 Annual 1971,2019,3,Parts per billion,No Events,2133,97.0,0.1915,0.0,6.5,Y,,,89.0,89.0,2208.0,96.7,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q3
7,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 Annual 1971,2019,4,Parts per billion,No Events,2122,96.0,0.434,0.0,6.4,Y,,,88.0,88.0,2208.0,95.7,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-02,2019_q4
8,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2020,1,Parts per billion,No Events,2138,98.0,0.5208,0.0,8.0,Y,0.0,,91.0,91.0,2184.0,100.0,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-31,2020_q1
9,36,081,0124,42401,2,40.73614,-73.82153,WGS84,Sulfur dioxide,1 HOUR,1,O,SO2 1-hour 2010,2020,2,Parts per billion,No Events,2109,97.0,0.221,0.0,6.9,Y,0.0,,89.0,89.0,2184.0,97.8,100.0,0768,New York State Department Of Environmental Conservation,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-10-31,2020_q2
